Model,Accent,Sample Index,Reference,Base Hypothesis,Prompted Hypothesis,Base WER (%),Prompted WER (%),Base SER (%),Prompted SER (%),SER Reduction (Δ%),Base DER (%),Prompted DER (%),Base IER (%),Prompted IER (%)
Whisper tiny,Singaporean,11,The existing dam is the second structure to be called the American Falls Dam.,The existing dam is the second structure to be called American fall stamp.,The existing dam is the second structure to be called American false dam.,21.43,14.29,14.29,7.14,50.0,7.14,7.14,0.0,0.0
Whisper tiny,Singaporean,12,The promontory on which Agropoli stands has been inhabited since Neolithic times.,The promontory on which I grip Holy Stance has been inhabited since nearly five times.,The pro-ontry on which I,50.0,75.0,25.0,16.67,33.33,0.0,58.33,25.0,0.0
Whisper tiny,Singaporean,13,It is the home of the football team of Harvard.,It is the home of football team of Harvard.,It is the home of the football team of Harvard.,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Whisper tiny,Singaporean,14,Emily Jones is the director.,Emily Jones is a director.,English translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a,20.0,8540.0,20.0,80.0,-300.0,0.0,0.0,0.0,8460.0
Whisper tiny,Singaporean,15,Kurds and Zazas have for centuries lived in the same areas in Anatolia.,Kurds and rather self for centuries lived in the same areas in Anatolia.,The English translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is,15.38,3292.31,15.38,100.0,-550.0,0.0,0.0,0.0,3192.31
Whisper tiny,Singaporean,16,"In the film, a real frog is skinned alive while fish are mutilated.","In the film, the real frog is going to live what fish are mutilated.","In the film, the real frog is a real frog is a live, what fish are mutilated.",38.46,53.85,30.77,23.08,25.0,0.0,0.0,7.69,30.77
Whisper tiny,Singaporean,17,This rule is not always strictly observed in the New World.,This rule is not always extremely absurd to me.,This rule is not always strictly observed in the,54.55,18.18,36.36,0.0,100.0,18.18,18.18,0.0,0.0
Whisper tiny,Singaporean,18,There is also the Mansion Hotel and Conference Centre.,There is also the Manchin Hotel and Conference Center.,The French accent is a French accent is a French accent is a French accent is a French accent.,22.22,200.0,22.22,88.89,-300.0,0.0,0.0,0.0,111.11
Whisper tiny,Singaporean,19,"Their blended family includes daughters Alexis, Hailey, Addison and son, Jack.","Their branded family includes daughters, exes, healing, addition and son Jack.",The English translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is,36.36,3890.91,36.36,100.0,-175.0,0.0,0.0,0.0,3790.91
Whisper tiny,Singaporean,20,"At around the same time, the Romans were finally the victors over Carthage.","At around the same time, the Romans will finally lead the victors of a cottage.","At around the same time, the Romans finally the victors of a coffee shop.",38.46,38.46,23.08,15.38,33.33,0.0,7.69,15.38,15.38
Whisper tiny,Singaporean,21,"Yashar Books, a smaller Jewish publisher, agreed to distribute them.","Yesher birds, small and Jewish publisher, are created to build them.",The English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is a English translation is,70.0,4270.0,60.0,90.0,-50.0,0.0,0.0,10.0,4180.0
Whisper tiny,Singaporean,22,"""Sounds Funny"" is the show's theme.","Now, one's funny is the show's unique.",The English translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is,50.0,7116.67,33.33,83.33,-150.0,0.0,0.0,16.67,7033.33
Whisper tiny,Singaporean,23,"Since that date any new ""development"" has required planning permission.",So that date and new development and required planning permission.,The English translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is,30.0,4280.0,30.0,100.0,-233.33,0.0,0.0,0.0,4180.0
Whisper tiny,Singaporean,24,These men became known as 'Vaughan's doves'.,Please land become known as Vornstuffs.,Please learn to speak to the English,71.43,100.0,57.14,100.0,-75.0,14.29,0.0,0.0,0.0
Whisper tiny,Singaporean,25,"The name Brumstead is believed to derive from the ""place of broom"".",The name Drumshti is believed to derive from the place of Broom.,The name is a French accent is a French accent is a French accent is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent. The name is a French accent.,8.33,2816.67,8.33,66.67,-700.0,0.0,0.0,0.0,2750.0
Whisper tiny,Singaporean,26,Crimes committed east of the Curzon line could not be prosecuted by Polish courts.,Crimes can be that ease of the cousin line could not be prosecuted by polish cars.,The English translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is,42.86,3057.14,28.57,100.0,-250.0,0.0,0.0,14.29,2957.14
Whisper tiny,Singaporean,27,Lacking professional routine his painting seem bitter and sounding.,"Black King Professional Routine, his painting seemed bitter and sounding.",The Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is a Chinese accent is,33.33,4755.56,22.22,100.0,-350.0,0.0,0.0,11.11,4655.56
Whisper tiny,Singaporean,28,His works had a strong influence on the next generation of Russian landscape painters.,His works had a strong influence on the next generation of Russian landscape painters.,His works had a strong influence on the next generation of Russian landscape painters.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whisper tiny,Singaporean,29,"The commune is located on the east side of the department, southeast of Pau.","The communes located on the east side of the department, southeast of Pau.",The communes located on the east side of the east side of the Department of South East of Pau.,14.29,64.29,7.14,14.29,-100.0,7.14,7.14,0.0,42.86
Whisper tiny,Singaporean,30,The mixed color fraction is the least valuable.,The mixed color fraction is the linear survival.,The next is the English conversation spoken with a foreign accent. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The next is the English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation. The English translation.,25.0,4225.0,25.0,62.5,-150.0,0.0,0.0,0.0,4162.5
Whisper tiny,Singaporean,31,Senator Lloyd Bentsen of Texas.,Senator Lloyd Benson of Texas,Senator Lloyd Benson of Texas.,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
Whisper tiny,Singaporean,32,They were disciplined for their efforts.,They were disciplined for their efforts.,They were disciplined for their efforts.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whisper tiny,Singaporean,33,This is a simple consequence of the Lagrange form of the remainder.,This is a simple consequence of the Lagrange form of the remainder.,This is a simple consequence of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lagrange form of the Lag,0.0,2775.0,0.0,8.33,0.0,0.0,0.0,0.0,2766.67
Whisper tiny,Singaporean,34,"Subscribers may register for specific messages at build time, initialization time or runtime.","Subscribers may register for specific messages at build time, initialization time, all runtime.",Subscribe to the channel.,7.69,100.0,7.69,30.77,-300.0,0.0,69.23,0.0,0.0
Whisper tiny,Singaporean,35,Guizot expounded and carried out this doctrine with uncompromising rigour.,Goesot expounded and carried out this doctrine with uncompromising rigor.,The English,20.0,100.0,20.0,20.0,0.0,0.0,80.0,0.0,0.0
Whisper tiny,Singaporean,36,"Karl Ohs was born in Malta, Montana, the son of a Swedish immigrant.","Tal Oils was morning Malta, Montana, the son of a Swedish immigrant.",The,30.77,92.31,23.08,0.0,100.0,7.69,92.31,0.0,0.0
Whisper tiny,Singaporean,37,These produce more than two-thirds of all industrial output of the Novosibirsk region.,These produce more than 2-thirds of all industrial output of the Novobisk region.,This is a word in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation spoken in the English translation,15.38,3284.62,15.38,92.31,-500.0,0.0,0.0,0.0,3192.31
